CE_Event_Counter,Coalescence_Time,Eccentricity@DCO,Immediate_RLOF>CE,MT_Donor_Hist(1),MT_Donor_Hist(2),Mass(1),Mass(2),Merges_Hubble_Time,Metallicity@ZAMS(1),Optimistic_CE,Record_Type,Recycled_NS(1),Recycled_NS(2),SEED,SemiMajorAxis@DCO,Stellar_Type(1),Stellar_Type(2),Time,mixture_weight
0,23284124084089.715,1.1102230246251565e-16,0,b'4               ',b'NA              ',31.911977453774163,27.289500576391077,0,0.00047284766484096053,0,1,0.0,0.0,158,43.91969372428532,14,14,4.347694356518997,9.999999999999998
0,3.974767336951152e+19,0.05431361635664133,0,b'NA              ',b'NA              ',5.843894665568412,5.255385442536508,0,0.0001788384043992541,0,1,0.0,0.0,326,453.8631259720732,14,14,16.329920657199818,9.999999999994836
1,628.1330379580802,0.5821409690116575,0,b'2               ',b'4-8             ',9.648988683563227,1.4546333136183986,1,0.0015880479140294235,0,1,0.0,0.0,695,0.03370074543625393,14,13,14.260152693996062,9.999999999999998
1,5402.979047101831,0.9111420275535882,0,b'4               ',b'5-8             ',3.382412297146853,1.4705013819933446,1,0.0002600164104160265,0,1,0.0,0.0,858,0.11468499599114569,14,13,19.579542968691896,9.999999999999968
0,8.206604008620788e+18,0.6933256319329059,0,b'NA              ',b'NA              ',10.933213729237698,2.6141345937814187,0,0.0016772731319669237,0,1,0.0,0.0,948,557.9345709078698,14,14,31.65215448109479,10.0
1,40911.95675220067,2.220446049250313e-16,0,b'4               ',b'4               ',14.814524180334928,11.755619124168744,0,0.0014548388898049745,0,1,0.0,0.0,1260,0.1556389182959623,14,14,6.767255533716099,10.0
0,4.1193669333979654e+17,0.1163800954147438,0,b'NA              ',b'NA              ',13.879577496398692,10.596151526237486,0,0.0011133088482637903,0,1,0.0,0.0,1413,263.4987840401684,14,14,8.02471375928236,10.0
0,4.05567669856552e+18,0.5968617262690872,0,b'NA              ',b'NA              ',15.031999741206956,11.258749138684978,0,0.0019412156651912981,0,1,0.0,0.0,1509,714.6884060926144,14,14,7.604365411814874,10.0
0,16633.45336352811,1.5700924586837752e-16,0,b'1-2             ',b'2               ',17.877467025433873,27.552067552993154,0,0.005295012054493169,0,1,0.0,0.0,1571,0.18429734821377178,14,14,5.787868599558998,10.0
0,1.813796132627754e+16,2.7755575615628914e-16,0,b'NA              ',b'NA              ',18.400781453679926,15.323251315911284,0,0.0022642631754929794,0,1,0.0,0.0,1661,152.0556824289246,14,14,5.857675885347092,10.0
0,1.6417141161155369e+19,0.47623759524890796,0,b'NA              ',b'NA              ',9.20016255791934,7.082696429009155,0,0.023209822937148166,0,1,0.0,0.0,1816,603.6811008759294,14,14,9.344758393295798,9.999999999999998
1,393126.4638006546,5.551115123125783e-17,0,b'4               ',b'4               ',13.448782285824493,13.815169809390056,0,0.0018963502621799522,0,1,0.0,0.0,1871,0.2802940851873139,14,14,7.0393247775080345,10.0
0,1.5264770691329947e+21,0.559566971107293,0,b'NA              ',b'NA              ',15.841590630453705,14.503203562181032,0,0.00018336335572876613,0,1,0.0,0.0,2087,3328.2905222647614,14,14,6.19309739456806,10.0
1,152.2012862927679,1.2412670766236366e-16,0,b'4               ',b'4               ',14.388043278946201,13.03796306906132,1,0.0004963118881824314,0,1,0.0,0.0,2629,0.039470439063472695,14,14,7.283954870581113,9.999999999999998
1,140.60281478639124,4.47545209131181e-16,0,b'NA              ',b'4               ',22.56600430098867,13.764098026030553,1,0.00017385691978180807,0,1,0.0,0.0,2674,0.04709118597411388,14,14,6.3741431891661975,10.0
0,5.629965594908131e+19,0.6128461212638956,0,b'NA              ',b'NA              ',16.2376588744211,12.454735952642547,0,0.0002879567348798543,0,1,0.0,0.0,2913,1513.8876502355358,14,14,6.949240277351013,10.0
0,1822432184.4883523,4.965068306494546e-16,0,b'2               ',b'2               ',28.94731140132308,29.236433667959748,0,0.000777325361332882,0,1,0.0,0.0,3119,4.083854704326804,14,14,5.39551491356101,10.0
0,1.2890780022963837e+17,0.6863373769653742,0,b'NA              ',b'NA              ',16.664269012081927,4.6187173899522564,0,0.009274365850489776,0,1,0.0,0.0,3546,278.80491368480585,14,14,11.614626258442815,10.0
0,425245227281652.44,0.6300237577539197,0,b'NA              ',b'NA              ',14.993716175184177,13.284452494471875,0,0.0004694243865149443,0,1,0.0,0.0,3638,81.19813536569652,14,14,6.661071195653208,10.0
0,149093534209978.0,0.0,0,b'2               ',b'NA              ',18.64494591553777,15.959505406002316,0,0.0051737318986783305,0,1,0.0,0.0,3925,46.70535705462419,14,14,5.344389805878986,10.0
0,2.6644336573769187e+21,0.9024715464147051,0,b'NA              ',b'NA              ',10.616047182450663,9.803882943747764,0,0.004759101690053026,0,1,0.0,0.0,4116,8650.482845189394,14,14,8.292000059503975,10.0
0,7.415014419761254e+19,0.4284982386258926,0,b'NA              ',b'NA              ',15.41072391708234,3.1125126418973528,0,0.003095550441333663,0,1,0.0,0.0,4199,802.7833960428932,14,14,21.481024567585525,9.999999999999998
0,2.2397585610765873e+19,3.510833468576701e-16,0,b'NA              ',b'NA              ',20.090395715615486,13.904269903487455,0,0.007131283676779853,0,1,0.0,0.0,4549,901.0751816746496,14,14,5.158572243001037,10.0
0,3826206622570.171,4.460365043975677e-16,0,b'NA              ',b'NA              ',26.807918031563023,15.502492614957399,0,0.0001089050439635869,0,1,0.0,0.0,4551,21.369478957523892,14,14,5.8115422409309145,10.0
0,192936487288.7039,0.01602017403175661,0,b'2               ',b'4               ',43.83582184811557,41.376370131360304,0,0.00028035156486775855,0,1,0.0,0.0,4923,17.439973256150957,14,14,4.3309714572880065,10.0
1,254.67168983239458,1.1102230246251565e-16,0,b'NA              ',b'4               ',18.76814543945144,9.9595531604217,1,0.0001659518447575697,0,1,0.0,0.0,4947,0.045374258737814255,14,14,8.191656165139959,9.999999999999998
0,2.8829515438259028e+16,0.39714718075353234,0,b'NA              ',b'NA              ',27.75396385484919,10.227849061767191,0,0.0002036717553103532,0,1,0.0,0.0,5242,204.7292138089681,14,14,8.13694241973312,9.999999999999998
0,48485164.287278906,0.15917025445467028,0,b'2               ',b'2               ',20.106983797614372,4.522457012145813,0,0.0008481781119168472,0,1,0.0,0.0,5634,0.778971698468177,14,14,9.899674354299005,9.999999999999998
0,7.450065184681951e+20,0.5815255131432675,0,b'NA              ',b'NA              ',15.821300547687382,10.328575412038788,0,0.005579976045882572,0,1,0.0,0.0,5890,2542.5507365568005,14,14,7.872265295055001,10.0
0,4.99571360312506e+16,0.5113762460692695,0,b'2               ',b'NA              ',1.26,3.0735652904715103,0,0.005703624706854356,0,1,0.0,0.0,6104,52.34174042706505,13,14,47.077731424115186,9.679464298858479
0,4.197932717823487e+16,0.7734980156677891,0,b'5               ',b'NA              ',2.909494304320173,3.021505476362794,0,0.0007286312505965421,0,1,0.0,0.0,6159,112.7273982033533,14,14,28.806011903890386,9.999078378719364
0,62860744554.9709,0.2356006481835005,0,b'2               ',b'2               ',42.02555322661542,40.67324272259155,0,0.0006494310741814996,0,1,0.0,0.0,6532,13.542550105588521,14,14,3.9216644432900014,10.0
1,486.9543579913912,1.1102230246251565e-16,0,b'2               ',b'4               ',15.422341654977586,15.55670922634155,1,0.0033130217060510767,0,1,0.0,0.0,6570,0.05787352933048388,14,14,6.486661802607005,10.0
0,2333019889440.846,2.482534153247273e-16,0,b'NA              ',b'NA              ',25.780594653455196,20.980223078367253,0,0.0004983937209435842,0,1,0.0,0.0,6873,20.679962927964407,14,14,4.814276787705009,10.0
0,2529348998653016.5,0.4089794991798828,0,b'NA              ',b'NA              ',28.377468132817278,13.98737215992116,0,0.00013019384209315662,0,1,0.0,0.0,6957,125.7642582896975,14,14,6.337225224575071,10.0
0,331813889972429.94,7.376145397762941e-16,0,b'NA              ',b'NA              ',18.220147579519985,16.25281677149483,0,0.00017189029793460216,0,1,0.0,0.0,7000,56.922936185258486,14,14,5.62363504014394,10.0
