BSE_Common_Envelopes,BSE_Double_Compact_Objects,BSE_Pulsar_Evolution,BSE_RLOF,BSE_Supernovae,BSE_System_Parameters
BE_Fixed(1),CE_Event_Counter,MT_History,Beta,Applied_Kick_Magnitude(SN),Applied_Kick_Magnitude(1)
BE_Fixed(2),Coalescence_Time,Mass(1),CEE>MT,ComponentSpeed(CP),Applied_Kick_Magnitude(2)
BE_Kruckow(1),Eccentricity@DCO,Mass(2),Eccentricity<MT,ComponentSpeed(SN),CE_Alpha
BE_Kruckow(2),Immediate_RLOF>CE,Pulsar_Birth_Period(1),Eccentricity>MT,Drawn_Kick_Magnitude(SN),CE_Event_Counter
BE_Loveridge(1),MT_Donor_Hist(1),Pulsar_Birth_Period(2),Luminosity(1),Eccentricity,CH_on_MS(1)
BE_Loveridge(2),MT_Donor_Hist(2),Pulsar_Birth_Spin_Down(1),Luminosity(2),Eccentricity<SN,CH_on_MS(2)
BE_Loveridge_Winds(1),Mass(1),Pulsar_Birth_Spin_Down(2),MT_Event_Counter,Experienced_RLOF(SN),Drawn_Kick_Magnitude(1)
BE_Loveridge_Winds(2),Mass(2),Pulsar_Mag_Field(1),Mass(1)<MT,Fallback_Fraction(SN),Drawn_Kick_Magnitude(2)
BE_Nanjing(1),Merges_Hubble_Time,Pulsar_Mag_Field(2),Mass(1)>MT,Is_Hydrogen_Poor(SN),Eccentricity@ZAMS
BE_Nanjing(2),Metallicity@ZAMS(1),Pulsar_Spin_Down(1),Mass(2)<MT,Kick_Magnitude(uK),Equilibrated_At_Birth
Binding_Energy<CE(1),Optimistic_CE,Pulsar_Spin_Down(2),Mass(2)>MT,Luminosity(CP),Error
Binding_Energy<CE(2),Record_Type,Pulsar_Spin_Freq(1),MassTransferRateDonor,Luminosity(SN),Evolution_Status
CE_Event_Counter,Recycled_NS(1),Pulsar_Spin_Freq(2),Merger,MT_Donor_Hist(SN),Immediate_RLOF>CE
Double_Core_CE,Recycled_NS(2),Record_Type,Metallicity@ZAMS(1),Mass(CP),LBV_Factor
Eccentricity<CE,SEED,SEED,RLOF(1)<MT,Mass(SN),Mass@ZAMS(1)
Eccentricity>CE,SemiMajorAxis@DCO,SemiMajorAxis,RLOF(1)>MT,Mass@ZAMS(CP),Mass@ZAMS(2)
Immediate_RLOF>CE,Stellar_Type(1),Stellar_Type(1),RLOF(2)<MT,Mass@ZAMS(SN),Merger
Lambda@CE(1),Stellar_Type(2),Stellar_Type(2),RLOF(2)>MT,Mass_CO_Core@CO(SN),Merger_At_Birth
Lambda@CE(2),Time,Time,Radius(1)<MT,Mass_Core@CO(SN),Metallicity@ZAMS(1)
Lambda_Fixed(1),dmMT(1),dT,Radius(1)>MT,Mass_He_Core@CO(SN),Metallicity@ZAMS(2)
Lambda_Fixed(2),dmMT(2),,Radius(1)|RL<step,Mass_Total@CO(SN),Omega@ZAMS(1)
Lambda_Kruckow(1),dmWinds(1),,Radius(1)|RL>step,Metallicity@ZAMS(1),Omega@ZAMS(2)
Lambda_Kruckow(2),dmWinds(2),,Radius(2)<MT,Orb_Velocity<SN,Optimistic_CE
Lambda_Loveridge(1),,,Radius(2)>MT,Radius(CP),Record_Type
Lambda_Loveridge(2),,,Radius(2)|RL<step,Radius(SN),SEED
Lambda_Loveridge_Winds(1),,,Radius(2)|RL>step,Record_Type,SN_Kick_Magnitude_Random_Number(1)
Lambda_Loveridge_Winds(2),,,Record_Type,SEED,SN_Kick_Magnitude_Random_Number(2)
